"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"VPS29"	7.18039461387482e-132	-0.293673012571226	0.141	0.28	1.17923620743666e-127
"DBI"	2.51700348983727e-131	-0.344365631155802	0.373	0.548	4.13367483135975e-127
"COMMD3"	3.2688247190755e-131	-0.283875007099762	0.085	0.202	5.36839083613769e-127
"CD72"	9.95490728200246e-131	-0.296761100282094	0.1	0.224	1.63489442292326e-126
"TWF2"	3.21830132912898e-130	-0.279453367618559	0.083	0.198	5.28541627282852e-126
"COX7B"	8.48196287952232e-130	-0.253445977043196	0.222	0.387	1.39299276370395e-125
"NDUFB5"	5.44627453779061e-129	-0.280557963763673	0.104	0.228	8.94441667341352e-125
"TRAF3IP3"	1.46251240282427e-126	-0.253797372883593	0.239	0.406	2.4018841191583e-122
"SPIB"	1.555215941509e-126	-0.253004788368187	0.162	0.307	2.55413114074022e-122
"HCST"	1.11885140625176e-125	-0.286487216720175	0.18	0.328	1.83748966448726e-121
"RAB11A"	1.37721236580915e-125	-0.287385774692545	0.104	0.225	2.26179586836836e-121
"PDLIM1"	2.40751685953159e-125	-0.258338543648528	0.171	0.319	3.95386493840873e-121
"MARCH1"	4.97712445933824e-125	-0.254051724874391	0.27	0.441	8.17393149957119e-121
"COTL1"	8.47358942863749e-125	-0.25595283437695	0.261	0.429	1.39161759186514e-120
"ARPC5"	1.14615227625246e-123	-0.268632557305114	0.17	0.316	1.88232588328941e-119
"PTPN22"	1.70694078116862e-123	-0.261318522330934	0.068	0.173	2.80330884491323e-119
"CXCR3"	3.29184723111839e-121	-0.280360675185085	0.03	0.107	5.40620070766573e-117
"RILPL2"	4.19802817364402e-120	-0.264028484912605	0.117	0.241	6.89442166957558e-116
"FGR"	3.09779575113883e-119	-0.278653143363688	0.083	0.192	5.0875099620953e-115
"ENO1"	9.28978513817411e-119	-0.271170068001838	0.245	0.404	1.52566141324233e-114
"HMOX1"	1.60537153504206e-118	-0.257013973556255	0.041	0.127	2.63650167199958e-114
"MIR155HG"	2.10409837058377e-118	-0.333059564740592	0.092	0.203	3.45556075400972e-114
"YPEL5"	1.11247598794685e-117	-0.257442145033883	0.142	0.274	1.82701931500512e-113
"COX14"	4.10359960408682e-116	-0.272297399261452	0.174	0.314	6.73934162979179e-112
"LSM10"	4.78081726720451e-116	-0.252585520963661	0.194	0.344	7.85153619792997e-112
"CCT8"	7.210219011064e-116	-0.257785741214213	0.121	0.246	1.18413426818704e-111
"TUBA4A"	1.11410006109629e-115	-0.28610929221628	0.151	0.285	1.82968653033843e-111
"EAF2"	4.55255028757291e-115	-0.304972695497332	0.047	0.133	7.47665333728099e-111
"EID1"	1.04860010309123e-108	-0.253577864851149	0.156	0.287	1.72211594930672e-104
"C1orf228"	3.77431393762955e-108	-0.279952105149579	0.069	0.164	6.19855577976901e-104
"GLO1"	1.12604251578499e-107	-0.264139584050869	0.191	0.331	1.84929962367369e-103
"SNAP23"	1.31977050524374e-107	-0.255452660616805	0.099	0.208	2.16745910076179e-103
"CLEC2B"	9.62603022285157e-105	-0.253538113997327	0.053	0.139	1.58088294349891e-100
"TCTN1"	2.4311715174016e-49	-0.277406357106161	0.111	0.18	3.99271298302864e-45
